X values (mandatory)	Y values (mandatory)	color	s	zorder	alpha
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0.00297111	8.44659e-005	gray	25	1	0.5
0.000611663	0	gray	25	1	0.5
0.000832692	0.000253902	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	red	50	2	1
0.00571106	0	gray	25	1	0.5
0	0.0093731	gray	25	1	0.5
0	0	gray	25	1	0.5
0	6.69277e-005	gray	25	1	0.5
0.0039717	0.000657887	gray	25	1	0.5
0.000174818	0	gray	25	1	0.5
0.0047238	0	red	50	2	1
0.0237044	0.0611732	gray	25	1	0.5
0	0.000466679	gray	25	1	0.5
0	0.0108306	red	50	2	1
6.33516e-005	0.000161372	gray	25	1	0.5
0	0.000923682	gray	25	1	0.5
6.77621e-005	0.0001015	gray	25	1	0.5
0.00411434	6.65245e-005	gray	25	1	0.5
0	0	red	50	2	1
0	2.12677e-005	gray	25	1	0.5
0.000199778	0.00127818	gray	25	1	0.5
0.0859296	0.170008	gray	25	1	0.5
0.0537809	0.0235885	gray	25	1	0.5
0.011777	0.0778722	gray	25	1	0.5
0.00510381	0.00450673	red	50	2	1
0.00885088	0.028509	red	50	2	1
0.000546307	0	gray	25	1	0.5
0.0010029	0.014966	red	50	2	1
0.000270848	4.23338e-005	gray	25	1	0.5
0.00157276	0.00999288	red	50	2	1
0	0.000680062	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	9.09168e-005	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0.106495	0.158604	gray	25	1	0.5
0.0334888	0.0379207	gray	25	1	0.5
0.0207354	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	4.72727e-005	gray	25	1	0.5
5.51319e-006	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	red	50	2	1
0.000163892	0	red	50	2	1
0	0	gray	25	1	0.5
0.00845232	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0.000134221	0	gray	25	1	0.5
0	0	red	50	2	1
0	0.00268265	red	50	2	1
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0.000542197	0.00134924	gray	25	1	0.5
0.0016699	0	gray	25	1	0.5
0.000110464	0.000863004	gray	25	1	0.5
3.18763e-005	7.41849e-005	gray	25	1	0.5
0	6.59197e-005	gray	25	1	0.5
0.00114604	0.000875704	red	50	2	1
0	0	gray	25	1	0.5
0	2.21748e-006	red	50	2	1
0	0	gray	25	1	0.5
0	0.000113898	gray	25	1	0.5
0.000324476	0.000153712	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0.00120859	0.000349354	red	50	2	1
0	0	gray	25	1	0.5
0.00648642	0.00612156	gray	25	1	0.5
0	0	red	50	2	1
0.136745	0.0222149	gray	25	1	0.5
0.00193353	0.00915619	gray	25	1	0.5
0	0	gray	25	1	0.5
0.0348794	0.0960399	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0.105985	0	red	50	2	1
0.00114484	0.00163428	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0.00020068	0.000741647	gray	25	1	0.5
0	0	gray	25	1	0.5
0.0042647	0	gray	25	1	0.5
0.00605338	0.0159951	gray	25	1	0.5
0	0	gray	25	1	0.5
0.00308769	0.0039952	red	50	2	1
0.00268001	0.00689939	red	50	2	1
0	0	gray	25	1	0.5
0	0	red	50	2	1
0.0323905	0.00616702	red	50	2	1
0.000461203	0.0378419	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
6.06451e-005	0.00127596	gray	25	1	0.5
0.00832953	0.00482413	gray	25	1	0.5
0.0763361	0.0959937	gray	25	1	0.5
0.0229722	0.0138002	gray	25	1	0.5
0.000108459	9.92827e-005	gray	25	1	0.5
0.0553484	0	gray	25	1	0.5
0	3.47742e-005	gray	25	1	0.5
0.0198086	0.0293597	gray	25	1	0.5
0.00286335	0.00549956	gray	25	1	0.5
0.0078563	0.0100876	gray	25	1	0.5
0.000852339	0.000283636	gray	25	1	0.5
0	0	gray	25	1	0.5
0.0111413	0	gray	25	1	0.5
0.00020489	0.000375964	red	50	2	1
0	0	gray	25	1	0.5
0	0.00102861	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	3.25567e-005	red	50	2	1
0.000523553	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0.000715311	0	red	50	2	1
0.000657573	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0.00715101	0.00762612	gray	25	1	0.5
0.00209662	0.00197356	gray	25	1	0.5
0	0	red	50	2	1
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	red	50	2	1
0	4.05195e-005	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0	0	gray	25	1	0.5
0.0546937	0.00202244	red	50	2	1
