"Family"	"Merged.ID"
"16S_Ribosomal_RNA_Methyltransferase_1"	"rRNA_Methyltransferase"
"16S_Ribosomal_RNA_Methyltransferase_2"	"rRNA_Methyltransferase"
"16S_Ribosomal_RNA_Methyltransferase_0"	"rRNA_Methyltransferase"
"AAA25680"	"Aminoglycoside_Acetyltransferase"
"YP_884847"	"Aminoglycoside_Acetyltransferase"
"AAA21889"	"Aminoglycoside_Acetyltransferase"
"Q01515"	"Aminoglycoside_Acetyltransferase"
"YP_001102018"	"Aminoglycoside_Acetyltransferase"
"CAA39038"	"Aminoglycoside_Acetyltransferase"
"AAA25688"	"Aminoglycoside_Acetyltransferase"
"YP_001068559"	"Aminoglycoside_Acetyltransferase"
"NP_214776"	"Aminoglycoside_Acetyltransferase"
"CAH58703"	"Aminoglycoside_Acetyltransferase"
"Q49157"	"Aminoglycoside_Acetyltransferase"
"P13246"	"Aminoglycoside_Acetyltransferase"
"P23181"	"Aminoglycoside_Acetyltransferase"
"P29810"	"Aminoglycoside_Acetyltransferase"
"AAC41391"	"Aminoglycoside_Acetyltransferase"
"P08988"	"Aminoglycoside_Acetyltransferase"
"P29808"	"Aminoglycoside_Acetyltransferase"
"AAA87229"	"Aminoglycoside_Acetyltransferase"
"AAD03496"	"Aminoglycoside_Acetyltransferase"
"P10051"	"Aminoglycoside_Acetyltransferase"
"AAL51021"	"Aminoglycoside_Acetyltransferase"
"P30180"	"Aminoglycoside_Acetyltransferase"
"YP_001821804"	"Aminoglycoside_Acetyltransferase"
"YP_002559372"	"Aminoglycoside_Acetyltransferase"
"AAA26549"	"Aminoglycoside_Acetyltransferase"
"Q52424"	"Aminoglycoside_Acetyltransferase"
"CAG34706"	"Aminoglycoside_Acetyltransferase"
"YP_001848841"	"Aminoglycoside_Acetyltransferase"
"ABCAntibioticEffluxPump_0"	"ABC_Antibiotic_Efflux"
"ABCAntibioticEffluxPump_9"	"ABC_Antibiotic_Efflux"
"ABCAntibioticEffluxPump_10"	"ABC_Antibiotic_Efflux"
"YP_001178158"	"RND_Antibiotic_Efflux"
"YP_542447"	"RND_Antibiotic_Efflux"
"CAL18625"	"RND_Antibiotic_Efflux"
"CAC35724"	"RND_Antibiotic_Efflux"
"YP_001438874"	"RND_Antibiotic_Efflux"
"YP_001454231"	"RND_Antibiotic_Efflux"
"YP_001337075"	"RND_Antibiotic_Efflux"
"YP_454364"	"RND_Antibiotic_Efflux"
"AAQ21216"	"RND_Antibiotic_Efflux"
"YP_002932544"	"RND_Antibiotic_Efflux"
"YP_001436507"	"RND_Antibiotic_Efflux"
"YP_001573360"	"RND_Antibiotic_Efflux"
"YP_049275"	"RND_Antibiotic_Efflux"
"YP_001438873"	"RND_Antibiotic_Efflux"
"YP_001007284"	"RND_Antibiotic_Efflux"
"YP_002269113"	"RND_Antibiotic_Efflux"
